id_review;marketplace;produk;rating;komentar;komentar_bersih;sentimen_lexicon;skor_lexicon;sentimen
1;Blibli;Power Bank;1;Barang rusak saat diterima;barang rusak saat diterima;Negatif;-1;Negatif
2;Lazada;Keyboard;4;Belanja di sini memuaskan;belanja di sini memuaskan;Positif;1;Positif
3;Blibli;Headset;1;Produk tidak sesuai gambar;produk tidak sesuai gambar;Netral;0;Negatif
4;Tokopedia;Power Bank;4;Produk sangat bagus dan sesuai deskripsi;produk sangat bagus dan sesuai deskripsi;Positif;3;Positif
5;Blibli;Keyboard;2;Barang rusak saat diterima;barang rusak saat diterima;Negatif;-1;Negatif
6;Blibli;Jam Tangan;1;Produk cepat rusak;produk cepat rusak;Netral;0;Negatif
7;Tokopedia;Smartphone;2;Barang palsu dan tidak original;barang palsu dan tidak original;Negatif;-1;Negatif
8;Tokopedia;Headset;2;Produk cepat rusak;produk cepat rusak;Netral;0;Negatif
9;Blibli;Power Bank;3;Barang sesuai ukuran;barang sesuai ukuran;Positif;1;Netral
10;Tokopedia;Laptop;1;Produk tidak sesuai gambar;produk tidak sesuai gambar;Netral;0;Negatif
11;Tokopedia;Baju;1;Kualitas buruk dan mengecewakan;kualitas buruk dan mengecewakan;Negatif;-1;Negatif
12;Lazada;Mouse;5;Kualitas melebihi ekspektasi;kualitas melebihi ekspektasi;Positif;1;Positif
13;Shopee;Sepatu;4;Produk sangat bagus dan sesuai deskripsi;produk sangat bagus dan sesuai deskripsi;Positif;3;Positif
14;Shopee;Keyboard;3;Barang sudah diterima;barang sudah diterima;Netral;0;Netral
15;Shopee;Baju;4;Saya puas dengan kualitas barang;saya puas dengan kualitas barang;Positif;2;Positif
16;Tokopedia;Smartphone;4;Kualitas melebihi ekspektasi;kualitas melebihi ekspektasi;Positif;1;Positif
17;Tokopedia;Keyboard;4;Produk sangat bagus dan sesuai deskripsi;produk sangat bagus dan sesuai deskripsi;Positif;3;Positif
18;Lazada;Headset;2;Produk tidak sesuai gambar;produk tidak sesuai gambar;Netral;0;Negatif
19;Lazada;Power Bank;5;Saya puas dengan kualitas barang;saya puas dengan kualitas barang;Positif;2;Positif
20;Shopee;Smartphone;2;Barang palsu dan tidak original;barang palsu dan tidak original;Negatif;-1;Negatif
21;Lazada;Keyboard;3;Pengalaman belanja biasa saja;pengalaman belanja biasa saja;Netral;0;Netral
22;Shopee;Mouse;3;Barang sesuai ukuran;barang sesuai ukuran;Positif;1;Netral
23;Tokopedia;Jam Tangan;2;Seller tidak responsif;seller tidak responsif;Negatif;-1;Negatif
24;Tokopedia;Mouse;3;Produk sesuai pesanan;produk sesuai pesanan;Positif;1;Netral
25;Lazada;Keyboard;2;Barang palsu dan tidak original;barang palsu dan tidak original;Negatif;-1;Negatif
26;Tokopedia;Sepatu;3;Tidak ada masalah berarti;tidak ada masalah berarti;Negatif;-2;Netral
27;Shopee;Smartphone;2;Pengiriman sangat lambat;pengiriman sangat lambat;Negatif;-1;Negatif
